lon,lat,mmh,thunderstorm,hail
36.93179,47.68526,0.000,0,0
36.97178,47.68526,0.000,0,0
37.01178,47.68526,0.000,0,0
37.05177,47.68526,0.000,0,0
37.09176,47.68526,0.000,0,0
37.13175,47.68526,0.000,0,0
37.17174,47.68526,0.000,0,0
37.21173,47.68526,0.000,0,0
37.25172,47.68526,0.000,0,0
37.29171,47.68526,0.000,0,0
37.33170,47.68526,0.000,0,0
37.37170,47.68526,0.000,0,0
37.41169,47.68526,0.000,0,0
37.45168,47.68526,0.000,0,0
37.49167,47.68526,0.000,0,0
37.53166,47.68526,0.000,0,0
37.57165,47.68526,0.000,0,0
37.61164,47.68526,0.000,0,0
37.65163,47.68526,0.000,0,0
37.69162,47.68526,0.000,0,0
37.73162,47.68526,0.000,0,0
37.77161,47.68526,0.000,0,0
37.81160,47.68526,0.000,0,0
37.85159,47.68526,0.000,0,0
37.89158,47.68526,0.000,0,0
37.93157,47.68526,0.000,0,0
37.97156,47.68526,0.000,0,0
38.01155,47.68526,0.000,0,0
38.05154,47.68526,0.000,0,0
38.09154,47.68526,0.000,0,0
38.13153,47.68526,0.000,0,0
38.17152,47.68526,0.000,0,0
38.21151,47.68526,0.000,0,0
38.25150,47.68526,0.000,0,0
38.29149,47.68526,0.000,0,0
38.33148,47.68526,0.000,0,0
38.37147,47.68526,0.000,0,0
38.41146,47.68526,0.000,0,0
38.45146,47.68526,0.000,0,0
38.49145,47.68526,0.000,0,0
38.53144,47.68526,0.000,0,0
38.57143,47.68526,0.000,0,0
38.61142,47.68526,0.000,0,0
38.65141,47.68526,0.000,0,0
38.69140,47.68526,0.000,0,0
38.73139,47.68526,0.000,0,0
38.77138,47.68526,0.000,0,0
38.81138,47.68526,0.000,0,0
38.85137,47.68526,0.000,0,0
38.89136,47.68526,0.000,0,0
38.93135,47.68526,0.000,0,0
38.97134,47.68526,0.000,0,0
39.01133,47.68526,0.000,0,0
39.05132,47.68526,0.000,0,0
39.09131,47.68526,0.000,0,0
39.13130,47.68526,0.000,0,0
39.17130,47.68526,0.000,0,0
39.21129,47.68526,0.000,0,0
39.25128,47.68526,0.000,0,0
39.29127,47.68526,0.000,0,0
39.33126,47.68526,0.000,0,0
39.37125,47.68526,0.000,0,0
39.41124,47.68526,0.000,0,0
39.45123,47.68526,0.000,0,0
39.49122,47.68526,0.000,0,0
39.53122,47.68526,0.000,0,0
39.57121,47.68526,0.000,0,0
39.61120,47.68526,0.000,0,0
39.65119,47.68526,0.000,0,0
39.69118,47.68526,0.000,0,0
39.73117,47.68526,0.000,0,0
39.77116,47.68526,0.000,0,0
39.81115,47.68526,0.000,0,0
39.85114,47.68526,0.000,0,0
39.89114,47.68526,0.000,0,0
39.93113,47.68526,0.000,0,0
39.97112,47.68526,0.000,0,0
40.01111,47.68526,0.000,0,0
40.05110,47.68526,0.000,0,0
40.09109,47.68526,0.000,0,0
40.13108,47.68526,0.000,0,0
40.17107,47.68526,0.000,0,0
40.21106,47.68526,0.000,0,0
40.25106,47.68526,0.000,0,0
40.29105,47.68526,0.000,0,0
40.33104,47.68526,0.000,0,0
40.37103,47.68526,0.000,0,0
40.41102,47.68526,0.000,0,0
40.45101,47.68526,0.000,0,0
40.49100,47.68526,0.000,0,0
40.53099,47.68526,0.000,0,0
40.57098,47.68526,0.000,0,0
40.61098,47.68526,0.000,0,0
40.65097,47.68526,0.000,0,0
40.69096,47.68526,0.000,0,0
40.73095,47.68526,0.000,0,0
40.77094,47.68526,0.000,0,0
40.81093,47.68526,0.000,0,0
40.85092,47.68526,0.000,0,0
40.89091,47.68526,0.000,0,0
40.93090,47.68526,0.000,0,0
40.97090,47.68526,0.000,0,0
41.01089,47.68526,0.000,0,0
41.05088,47.68526,0.000,0,0
41.09087,47.68526,0.000,0,0
41.13086,47.68526,0.000,0,0
41.17085,47.68526,0.000,0,0
41.21084,47.68526,0.000,0,0
41.25083,47.68526,0.000,0,0
41.29082,47.68526,0.000,0,0
41.33082,47.68526,0.000,0,0
41.37081,47.68526,0.000,0,0
41.41080,47.68526,0.000,0,0
41.45079,47.68526,0.000,0,0
41.49078,47.68526,0.000,0,0
41.53077,47.68526,0.000,0,0
41.57076,47.68526,0.000,0,0
41.61075,47.68526,0.000,0,0
41.65074,47.68526,0.000,0,0
41.69074,47.68526,0.000,0,0
41.73073,47.68526,0.000,0,0
41.77072,47.68526,0.000,0,0
41.81071,47.68526,0.000,0,0
41.85070,47.68526,0.000,0,0
41.89069,47.68526,0.000,0,0
41.93068,47.68526,0.000,0,0
41.97067,47.68526,0.000,0,0
42.01066,47.68526,0.000,0,0
42.05066,47.68526,0.000,0,0
42.09065,47.68526,0.000,0,0
42.13064,47.68526,0.000,0,0
42.17063,47.68526,0.000,0,0
42.21062,47.68526,0.000,0,0
42.25061,47.68526,0.000,0,0
42.29060,47.68526,0.000,0,0
42.33059,47.68526,0.000,0,0
42.37058,47.68526,0.000,0,0
42.41058,47.68526,0.000,0,0
42.45057,47.68526,0.000,0,0
42.49056,47.68526,0.000,0,0
42.53055,47.68526,0.000,0,0
42.57054,47.68526,0.000,0,0
42.61053,47.68526,0.000,0,0
42.65052,47.68526,0.000,0,0
42.69051,47.68526,0.000,0,0
42.73050,47.68526,0.000,0,0
42.77050,47.68526,0.000,0,0
42.81049,47.68526,0.000,0,0
42.85048,47.68526,0.000,0,0
42.89047,47.68526,0.000,0,0
42.93046,47.68526,0.000,0,0
42.97045,47.68526,0.000,0,0
43.01044,47.68526,0.000,0,0
43.05043,47.68526,0.000,0,0
43.09042,47.68526,0.000,0,0
43.13042,47.68526,0.000,0,0
43.17041,47.68526,0.000,0,0
43.21040,47.68526,0.000,0,0
43.25039,47.68526,0.000,0,0
43.29038,47.68526,0.000,0,0
43.33037,47.68526,0.000,0,0
43.37036,47.68526,0.000,0,0
43.41035,47.68526,0.000,0,0
43.45034,47.68526,0.000,0,0
43.49034,47.68526,0.000,0,0
43.53033,47.68526,0.000,0,0
43.57032,47.68526,0.000,0,0
43.61031,47.68526,0.000,0,0
43.65030,47.68526,0.000,0,0
43.69029,47.68526,0.000,0,0
43.73028,47.68526,0.000,0,0
43.77027,47.68526,0.000,0,0
43.81026,47.68526,0.000,0,0
43.85026,47.68526,0.000,0,0
43.89025,47.68526,0.000,0,0
43.93024,47.68526,0.000,0,0
43.97023,47.68526,0.000,0,0
44.01022,47.68526,0.000,0,0
44.05021,47.68526,0.000,0,0
44.09020,47.68526,0.000,0,0
44.13019,47.68526,0.000,0,0
44.17018,47.68526,0.000,0,0
44.21018,47.68526,0.000,0,0
44.25017,47.68526,0.000,0,0
44.29016,47.68526,0.000,0,0
44.33015,47.68526,0.000,0,0
44.37014,47.68526,0.000,0,0
44.41013,47.68526,0.000,0,0
44.45012,47.68526,0.000,0,0
44.49011,47.68526,0.000,0,0
44.53010,47.68526,0.000,0,0
44.57010,47.68526,0.000,0,0
44.61009,47.68526,0.000,0,0
44.65008,47.68526,0.000,0,0
44.69007,47.68526,0.000,0,0
44.73006,47.68526,0.000,0,0
44.77005,47.68526,0.000,0,0
44.81004,47.68526,0.000,0,0
44.85003,47.68526,0.000,0,0
44.89002,47.68526,0.000,0,0
44.93002,47.68526,0.000,0,0
44.97001,47.68526,0.000,0,0
45.01000,47.68526,0.000,0,0
45.04999,47.68526,0.000,0,0
45.08998,47.68526,0.000,0,0
45.12997,47.68526,0.000,0,0
45.16996,47.68526,0.000,0,0
45.20995,47.68526,0.000,0,0
45.24994,47.68526,0.000,0,0
45.28994,47.68526,0.000,0,0
45.32993,47.68526,0.000,0,0
45.36992,47.68526,0.000,0,0
45.40991,47.68526,0.000,0,0
45.44990,47.68526,0.000,0,0
45.48989,47.68526,0.000,0,0
45.52988,47.68526,0.000,0,0
45.56987,47.68526,0.000,0,0
45.60986,47.68526,0.000,0,0
45.64986,47.68526,0.000,0,0
45.68985,47.68526,0.000,0,0
45.72984,47.68526,0.000,0,0
45.76983,47.68526,0.000,0,0
45.80982,47.68526,0.000,0,0
